time,high,low,open,volumefrom,volumeto,close
2017-04-14,1602.0,1555.51,1576.75,290.19,458549.04,1556.22
2017-04-15,1589.98,1555.0,1556.22,147.81,233499.17,1588.99
2017-04-16,1589.99,1559.0,1588.99,249.72,393138.79,1579.52
2017-04-17,1619.99,1559.99,1579.52,275.75,440720.31,1602.0
2017-04-18,1629.97,1575.0,1602.0,493.52,791768.1,1619.83
2017-04-19,1637.5,1559.99,1619.83,547.83,882488.88,1635.74
2017-04-20,1675.0,1620.01,1635.74,1142.42,1892155.03,1664.0
2017-04-21,1689.0,1645.29,1664.0,454.83,761159.14,1670.0
2017-04-22,1699.0,1650.0,1670.0,318.55,531664.36,1694.81
2017-04-23,1699.0,1661.5,1694.81,170.27,287340.24,1690.0
2017-04-24,1699.0,1655.01,1690.0,207.23,349709.94,1695.99
2017-04-25,1730.0,1680.0,1695.99,426.57,732740.14,1728.1
2017-04-26,1750.0,1700.01,1728.1,403.92,698269.05,1749.87
2017-04-27,1830.0,1699.0,1749.87,556.62,993846.32,1829.97
2017-04-28,1838.0,1770.05,1829.97,304.87,552607.78,1829.96
2017-04-29,1849.0,1800.02,1829.96,200.57,367807.32,1849.0
2017-04-30,1894.0,1804.22,1849.0,319.39,589219.91,1868.62
2017-05-01,1980.0,1846.0,1868.62,489.58,942859.07,1964.94
2017-05-02,1999.5,1913.03,1964.94,653.57,1279625.64,1990.0
2017-05-03,2113.77,1980.01,1990.0,551.16,1121728.75,2076.08
2017-05-04,2235.0,2025.44,2076.08,802.59,1711376.66,2133.99
2017-05-05,2199.96,2076.6,2133.99,499.3,1061489.12,2134.06
2017-05-06,2180.0,2085.0,2134.06,569.43,1208135.1,2135.0
2017-05-07,2169.0,2109.03,2135.0,437.85,930172.41,2168.99
2017-05-08,2277.98,2133.38,2168.99,589.86,1291728.69,2270.0
2017-05-09,2458.03,2211.16,2270.0,969.78,2281970.77,2423.97
2017-05-10,2500.0,2340.0,2423.97,439.44,1066199.11,2490.99
2017-05-11,2638.05,2450.0,2490.99,704.14,1788062.53,2585.94
2017-05-12,2599.0,2300.0,2585.94,600.43,1488558.94,2480.0
2017-05-13,2525.0,2302.0,2480.0,360.04,877609.03,2523.5
2017-05-14,2525.0,2433.01,2523.5,437.55,1082957.23,2475.0
2017-05-15,2489.76,2400.0,2475.0,415.4,1013530.09,2425.0
2017-05-16,2489.55,2350.0,2425.0,599.21,1434112.99,2482.23
2017-05-17,2650.0,2452.01,2482.23,570.57,1464920.3,2574.38
2017-05-18,2716.0,2500.0,2574.38,731.91,1905610.34,2653.23
2017-05-19,2713.13,2608.6,2653.23,636.97,1699242.83,2712.32
2017-05-20,2799.82,2666.5,2712.32,594.44,1621793.59,2798.65
